protein_id,genes,time,fraction,intensity
Q6ZWU9,Rps27,30min,1,1709319.9999999998
Q6ZWV3,Rpl10,30min,1,2909029.5
Q6ZWV7,Rpl35,30min,1,925781.0
Q76MZ3,Ppp2r1a,30min,1,1318359.9999999981
Q78IK2,Atp5mk,30min,1,7796720.0
Q78IS1,Tmed3,30min,1,4195695.0
Q78ZA7,Nap1l4,30min,1,1206370.0
Q7TMQ7,Wdr91,30min,1,384818.0
Q7TQ95,Lnpk,30min,1,4731920.0
Q80SU7,Gvin1,30min,1,92256.5
Q80SZ7,Gng5,30min,1,950100.9999999998
Q80UM7,Mogs,30min,1,1623988.0
Q80UU9,Pgrmc2,30min,1,6293280.0
Q80V26,Bpnt2,30min,1,1198600.9999999995
Q80VA0,Galnt7,30min,1,3395032.0
Q80VQ0,Aldh3b1,30min,1,162627.0
Q80W54,Zmpste24,30min,1,8212252.999999999
Q80WQ6,Rhbdf2,30min,1,654349.0
Q80WW9,Ddrgk1,30min,1,3895950.0
Q80X95,Rraga,30min,1,217299.0
Q80XR2,Atp2c1,30min,1,1410794.9999999998
Q810Q5,Nmes1,30min,1,3428430.0
Q810S1,Mcub,30min,1,71777.3999999999
Q8BFR4,Gns,30min,1,1803185.0
Q8BFR5,Tufm,30min,1,527991.9999999995
Q8BFZ9,Erlin2,30min,1,1717750.9999999995
Q8BG51,Rhot1,30min,1,205798.0
Q8BH24,Tm9sf4,30min,1,14603499.999999996
Q8BH59,Slc25a12,30min,1,818805.0
Q8BIG7,Comtd1,30min,1,8602140.0
Q8BIJ7,Rufy1,30min,1,158166.0
Q8BJS4,Sun2,30min,1,2610670.000000002
Q8BK08,Tmem11,30min,1,1241867.0
Q8BK72,Mrps27,30min,1,60956.5
Q8BKE6,Cyp20a1,30min,1,142667.0
Q8BLF1,Nceh1,30min,1,383602.0000000037
Q8BMD8,Slc25a24,30min,1,9816180.0
Q8BMF4,Dlat,30min,1,666189.0
Q8BMK4,Ckap4,30min,1,20622199.999999993
Q8BMP6,Acbd3,30min,1,2003256.0
Q8BP67,Rpl24,30min,1,523301.0
Q8BPX9,Slc15a3,30min,1,1032489.9999999981
Q8BRF7,Scfd1,30min,1,1288507.0
Q8BRH0,Tmtc3,30min,1,128085.0
Q8BRK9,Man2a2,30min,1,151520.0
Q8BSY0,Asph,30min,1,605460.9999999981
