,protein_id,CCprofiler_count,SPADE_count,highest_count_group
489,O89112,0.0,1.0,SPADE
490,O89116,1.0,2.0,SPADE
491,P00375,0.0,1.0,SPADE
492,P00405,1.0,1.5,SPADE
493,P00493,1.0,2.0,SPADE
495,P01027,2.8333333333333335,1.8333333333333333,CCprofiler
496,P01887,0.0,1.1666666666666667,SPADE
497,P01897,1.0,1.3333333333333333,SPADE
498,P01901,1.0,1.5,SPADE
499,P01910,1.0,2.1666666666666665,SPADE
500,P01921,0.0,3.0,SPADE
501,P01942,0.0,2.6666666666666665,SPADE
502,P02535,1.3333333333333333,3.3333333333333335,SPADE
503,P03930,0.0,1.6666666666666667,SPADE
505,P03975,0.0,1.8,SPADE
506,P04104,0.0,2.75,SPADE
507,P04202,1.0,3.0,SPADE
508,P04230,1.0,1.1666666666666667,SPADE
509,P04441,0.0,2.3333333333333335,SPADE
510,P04627,0.0,1.5,SPADE
511,P05063,1.3333333333333333,1.0,CCprofiler
512,P05064,1.2,1.0,CCprofiler
513,P05132,0.0,4.666666666666667,SPADE
516,P05480,1.0,1.1666666666666667,SPADE
517,P05555,1.5,1.1666666666666667,CCprofiler
519,P06339,1.0,1.1666666666666667,SPADE
520,P06537,0.0,3.0,SPADE
521,P06745,1.1666666666666667,1.0,CCprofiler
523,P06800,1.8,1.3333333333333333,CCprofiler
525,P07091,0.0,2.0,SPADE
526,P07356,0.0,1.0,SPADE
529,P07742,1.3333333333333333,1.0,CCprofiler
530,P07901,2.0,1.8333333333333333,CCprofiler
531,P08003,2.3333333333333335,1.0,CCprofiler
532,P08030,1.1666666666666667,1.0,CCprofiler
534,P08103,1.0,2.0,SPADE
535,P08113,2.5,1.0,CCprofiler
536,P08226,1.0,1.5,SPADE
538,P08249,1.6666666666666667,1.0,CCprofiler
539,P08508,1.0,2.5,SPADE
540,P08556,1.0,2.1666666666666665,SPADE
541,P08752,2.0,2.5,SPADE
542,P08775,1.5,1.8333333333333333,SPADE
543,P08905,0.0,2.5,SPADE
544,P09055,1.4,1.0,CCprofiler
545,P09103,2.1666666666666665,1.0,CCprofiler
546,P09405,1.6,1.0,CCprofiler
547,P09411,1.5,1.0,CCprofiler
548,P09528,1.3333333333333333,2.3333333333333335,SPADE
551,P09803,0.0,1.0,SPADE
553,P0C0A3,1.0,1.1666666666666667,SPADE
554,P0C0S6,1.0,2.3333333333333335,SPADE
555,P0C6B7,0.0,1.0,SPADE
556,P0C7N9,0.0,2.0,SPADE
557,P0C7T6,1.0,2.0,SPADE
558,P0DOV1,1.3333333333333333,1.5,SPADE
559,P0DOV2,1.25,1.3333333333333333,SPADE
560,P0DP26,0.0,2.0,SPADE
561,P0DW87,1.6,2.3333333333333335,SPADE
562,P10126,0.0,2.1666666666666665,SPADE
563,P10518,1.1666666666666667,1.0,CCprofiler
564,P10605,0.0,3.0,SPADE
565,P10630,0.0,1.0,SPADE
566,P10649,1.1666666666666667,1.0,CCprofiler
567,P10711,1.75,1.0,CCprofiler
568,P10810,1.0,2.0,SPADE
569,P10833,1.0,2.1666666666666665,SPADE
570,P10852,1.6666666666666667,1.1666666666666667,CCprofiler
571,P10853,0.0,2.3333333333333335,SPADE
572,P10923,1.0,1.3333333333333333,SPADE
574,P11103,0.0,3.3333333333333335,SPADE
575,P11152,0.0,1.3333333333333333,SPADE
577,P11247,1.1666666666666667,1.0,CCprofiler
579,P11352,0.0,1.25,SPADE
580,P11438,0.0,2.5,SPADE
581,P11440,1.0,1.1666666666666667,SPADE
582,P11499,1.3333333333333333,2.0,SPADE
