peak_id,protein_id,genes,time,peak_apex,peak_height,peak_width,peak_area,peak_left,peak_right,snr,asymmetry,sharpness,peak_background_intensity
5789,Q9JMA2,Qtrt1,10min,37,11211832.11111111,7,43633311.99999999,34.0,40.0,225.5603739420803,0.0,1601690.3015873015,142588067.66666663
5790,Q9JMA4,Klra17,10min,9,7812341.111111111,18,63703852.77777777,1.0,18.0,157.1691909869918,0.05555555555555555,434018.95061728393,65298058.66666666
5791,Q9JME7,Trappc2l,10min,9,41340333.33333333,18,281867368.8888889,1.0,18.0,831.6875380532982,0.05555555555555555,2296685.1851851847,287060140.4444444
5792,Q9JMH6,Txnrd1,10min,32,1053574811.1111108,17,4892842325.666665,24.0,40.0,21195.887167688583,0.0,61974988.88888887,4932063900.833332
5793,Q9JMH9,Myo18a,10min,7,2761060.666666666,12,12004323.000000002,2.0,13.0,55.5471996260907,0.08333333333333333,230088.38888888885,12004323.000000002
5794,Q9QUI0,Rhoa,10min,8,140761909.44444442,16,1410678159.9999998,1.0,16.0,2831.8573286184915,0.0625,8797619.340277776,5105099641.722222
5795,Q9QUI0,Rhoa,10min,36,658737082.2222222,15,3125575897.666666,26.0,40.0,13252.51583532982,-0.4,43915805.48148148,5105099641.722222
5796,Q9QUJ7,Acsl4,10min,8,107621566.66666666,17,1022470227.7777777,1.0,17.0,2165.137738506517,0.11764705882352941,6330680.392156862,1393532218.8888884
5797,Q9QUJ7,Acsl4,10min,34,20493244.44444444,11,129390729.99999999,30.0,40.0,412.2844361533393,0.18181818181818182,1863022.2222222218,1393532218.8888884
5798,Q9QUK3,Cln8,10min,3,10674848.666666666,11,40962182.44444444,1.0,11.0,214.75730577897778,0.5454545454545454,970440.7878787878,40962182.44444444
5799,Q9QUK4,Naip2,10min,7,11406527.777777776,16,92545191.11111112,1.0,16.0,229.47727413671618,0.1875,712907.986111111,102111767.66666667
5800,Q9QUK6,Tlr4,10min,7,9393443.333333332,16,79385217.2222222,1.0,16.0,188.97790921883796,0.1875,587090.2083333333,81880120.99999997
5801,Q9QUM9,Psma6,10min,13,469319333.8888888,20,2822738091.111111,3.0,22.0,9441.797147971645,-0.05,23465966.69444444,2940655399.4444447
5802,Q9QUN7,Tlr2,10min,6,23699264.44444444,15,210867358.8888889,1.0,15.0,476.78335683813384,0.26666666666666666,1579950.9629629627,213027041.11111113
5803,Q9QUR6,Prep,10min,34,599228588.8888888,14,2638162560.5555553,27.0,40.0,12055.320062509221,-0.07142857142857142,42802042.06349206,2638162560.5555553
5804,Q9QVP9,Ptk2b,10min,9,13433166.666666664,14,108555870.55555554,1.0,14.0,270.2493282571411,-0.21428571428571427,959511.9047619046,146126779.99999997
5805,Q9QVP9,Ptk2b,10min,17,4581744.444444444,13,37544370.55555555,14.0,26.0,92.17583530989212,0.46153846153846156,352441.8803418803,146126779.99999997
5806,Q9QVP9,Ptk2b,10min,35,1070406.6666666665,7,3211219.999999999,32.0,38.0,21.534511541976862,0.0,152915.23809523808,146126779.99999997
5807,Q9QWF0,Chaf1a,10min,16,432806.6666666666,5,1154151.111111111,13.0,17.0,8.70723291345146,-0.4,86561.33333333333,17755834.0
5808,Q9QWF0,Chaf1a,10min,24,2862151.9999999995,13,16890220.666666668,17.0,29.0,57.580961701993786,-0.15384615384615385,220165.53846153844,17755834.0
5809,Q9QWR8,Naga,10min,37,99781400.0,9,360069855.5555556,32.0,40.0,2007.4087511674165,-0.2222222222222222,11086822.222222222,360069855.5555556
5810,Q9QWT9,Kifc1,10min,8,3688068.999999999,12,22934166.33333333,1.0,12.0,74.19681409069487,-0.25,307339.08333333326,47316785.11111111
5811,Q9QWT9,Kifc1,10min,21,2803093.0,18,24973397.555555552,12.0,29.0,56.39280886554134,-0.05555555555555555,155727.38888888888,47316785.11111111
5812,Q9QWY8,Asap1,10min,21,48690269.44444444,19,376174059.99999994,12.0,30.0,979.5540349150967,0.0,2562645.7602339177,414620429.99999994
5813,Q9QWY8,Asap1,10min,35,4428276.666666667,8,17206169.999999996,32.0,39.0,89.08836048859952,0.125,553534.5833333334,414620429.99999994
5814,Q9QX47,Son,10min,10,15795426.666666664,12,108113393.33333331,4.0,15.0,317.77342990867874,-0.08333333333333333,1316285.5555555553,509982212.99999994
5815,Q9QX47,Son,10min,27,32720738.888888884,10,244511639.33333328,22.0,31.0,658.2779715479995,-0.1,3272073.8888888885,509982212.99999994
5816,Q9QX60,Dguok,10min,35,58309282.22222222,10,218116239.99999997,30.0,39.0,1173.069965015319,-0.1,5830928.222222222,218116239.99999997
5817,Q9QXA5,Lsm4,10min,32,214732231.66666663,18,1071921086.9999996,22.0,39.0,4319.997123766309,-0.16666666666666666,11929568.425925924,1071921086.9999996
5818,Q9QXB9,Drg2,10min,29,95691387.77777776,14,477483699.99999994,22.0,35.0,1925.1256169633402,-0.07142857142857142,6835099.126984126,503570389.99999994
5819,Q9QXE0,Hacl1,10min,27,28317713.88888888,11,140269701.66666666,22.0,32.0,569.697625745987,0.0,2574337.6262626257,145606864.99999997
5820,Q9QXE7,Tbl1x,10min,10,13944703.888888888,19,92660517.88888888,1.0,19.0,280.54046765222637,0.0,733931.7836257309,104138757.0
5821,Q9QXE7,Tbl1x,10min,27,905905.0,9,3691577.0,23.0,31.0,18.225056220160454,0.0,100656.11111111111,104138757.0
5822,Q9QXE7,Tbl1x,10min,37,1972957.7777777773,9,7757239.999999999,32.0,40.0,39.69209400544519,-0.2222222222222222,219217.53086419747,104138757.0
5823,Q9QXG2,Chm,10min,27,92511944.44444443,19,566562207.5555555,17.0,35.0,1861.161367402057,-0.10526315789473684,4869049.707602339,594526921.0
5824,Q9QXG4,Acss2,10min,34,65722685.55555555,13,294492270.88888884,27.0,39.0,1322.2132996174294,-0.15384615384615385,5055591.196581196,295956485.99999994
