peak_id,protein_id,genes,time,peak_apex,peak_height,peak_width,peak_area,peak_left,peak_right,snr,asymmetry,sharpness,peak_background_intensity
4683,Q9CQ22,Lamtor1,30min,9,25096342.40740742,14,229898809.0000001,1.0,14.0,622.8090725813383,-0.21428571428571427,1792595.8862433874,1104238620.7222219
4684,Q9CQ22,Lamtor1,30min,26,46544274.62962959,12,333540915.35185164,18.0,29.0,1155.0765464331,-0.4166666666666667,3878689.5524691325,1104238620.7222219
4685,Q9CQ22,Lamtor1,30min,34,94835142.77777776,12,547228856.4814814,29.0,40.0,2353.4978270026004,0.08333333333333333,7902928.564814813,1104238620.7222219
4686,Q9CQ26,Stambp,30min,35,20432374.444444444,12,117683993.88888888,29.0,40.0,507.0646539562291,-0.08333333333333333,1702697.8703703703,119804523.88888888
4687,Q9CQ40,Mrpl49,30min,7,29487544.44444444,14,176338891.33333328,1.0,14.0,731.7843337491603,0.07142857142857142,2106253.1746031744,176734039.11111104
4688,Q9CQ43,Dut,30min,23,6359337.555555554,15,54538877.22222222,13.0,27.0,157.81794258745074,-0.4,423955.83703703695,298608833.0
4689,Q9CQ45,Nenf,30min,38,180811577.77777776,7,542822911.111111,34.0,40.0,4487.1515235028055,-0.2857142857142857,25830225.396825396,542822911.111111
4690,Q9CQ49,Ncbp2,30min,23,37979762.22222222,20,354392022.3333333,13.0,32.0,942.5333820557145,-0.05,1898988.1111111108,360055195.99999994
4691,Q9CQ56,Use1,30min,5,14440741.11111111,12,77738578.88888888,1.0,12.0,358.3719265857523,0.25,1203395.0925925926,77738578.88888888
4692,Q9CQ60,Pgls,30min,38,474519075.55555546,8,1544859446.6666665,33.0,40.0,11776.010247679742,-0.375,59314884.44444443,1544859446.6666665
4693,Q9CQ62,Decr1,30min,35,212297311.11111107,15,1120967705.5555556,26.0,40.0,5268.524364952749,-0.26666666666666666,14153154.07407407,1154324737.7777777
4694,Q9CQ65,Mtap,30min,33,138381699.99999997,18,744377562.2222222,23.0,40.0,3434.1808395868293,-0.16666666666666666,7687872.22222222,780195752.2222222
4695,Q9CQ71,Rpa3,30min,30,44031947.777777776,17,305104223.33333325,20.0,36.0,1092.728817380711,-0.23529411764705882,2590114.5751633984,333604332.0
4696,Q9CQ79,Txndc9,30min,12,7555542.222222222,13,37556264.0,7.0,19.0,187.50382696732916,0.15384615384615385,581195.5555555555,59052842.22222223
4697,Q9CQ79,Txndc9,30min,37,5489066.222222222,10,20858591.777777772,31.0,40.0,136.22065668783387,-0.3,548906.6222222222,59052842.22222223
4698,Q9CQ80,Vps25,30min,30,123666322.2222222,17,635618392.2222221,20.0,36.0,3068.99332988196,-0.23529411764705882,7274489.5424836585,636553729.9999999
4699,Q9CQ88,Tspan31,30min,6,47238903.33333333,15,398436506.44444436,1.0,15.0,1172.3149571831227,0.26666666666666666,3149260.222222222,445285045.5555555
4700,Q9CQA1,Trappc5,30min,10,54671639.99999999,13,312471819.8888888,7.0,19.0,1356.7711522317538,0.46153846153846156,4205510.769230769,482155316.6666666
4701,Q9CQA5,Med4,30min,6,9260563.333333332,13,50127471.66666666,1.0,13.0,229.81687002771085,0.15384615384615385,712351.0256410255,50127471.66666666
4702,Q9CQA9,Ntpcr,30min,5,9984720.0,14,74805675.55555554,1.0,14.0,247.78806816681262,0.35714285714285715,713194.2857142857,89296725.1111111
4703,Q9CQA9,Ntpcr,30min,19,1842191.555555555,15,14982709.555555552,14.0,28.0,45.71716450179138,0.26666666666666666,122812.77037037033,89296725.1111111
4704,Q9CQB5,Cisd2,30min,6,59520021.111111104,15,524530770.11111104,1.0,15.0,1477.0921015682086,0.26666666666666666,3968001.407407407,579115893.9444443
4705,Q9CQC6,Bzw1,30min,8,111709073.33333331,14,914962161.6666665,1.0,14.0,2772.253551223416,-0.07142857142857142,7979219.523809522,1563448819.4444444
4706,Q9CQC8,Spg21,30min,7,16935817.777777776,13,134929877.66666666,1.0,13.0,420.29156250558015,0.0,1302755.2136752135,236439502.0
4707,Q9CQC8,Spg21,30min,15,6164085.555555555,11,40064433.111111104,13.0,23.0,152.9724270511406,0.5454545454545454,560371.4141414141,236439502.0
